imdb_id,original_title,vote_average,vote_count,status,release_date,revenue,runtime,backdrop_path,budget,homepage,original_language,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,top_casts,director
tt1650554,Kick-Ass 2,6.396,5791,Released,17/07/2013,60700000,103,/4hCDuBCG1oSKFfr4TKLOJG30JzV.jpg,28000000,,en,"After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.",24.476,/1go2A3gdQjaMuHWquybgoJlQRcX.jpg,You Can't Fight Your Destiny.,"Action, Adventure, Crime","Marv Films, Universal Pictures, dentsu, Plan B Entertainment","United Kingdom, United States of America",English,"Aaron Taylor-Johnson, Chlo� Grace Moretz, Jim Carrey",Jeff Wadlow
tt0119177,Gattaca,7.548,5786,Released,07/09/1997,12532777,106,/hPsCR1ny6GnctJkWqeJwihTDD7T.jpg,36000000,https://www.sonypictures.com/movies/gattaca,en,"In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.",25.598,/eSKr5Fl1MEC7zpAXaLWBWSBjgJq.jpg,There is no gene for the human spirit.,"Thriller, Science Fiction, Mystery, Romance","Jersey Films, Columbia Pictures",United States of America,"English, Esperanto","Ethan Hawke, Uma Thurman, Jude Law",Andrew Niccol
tt1588173,Warm Bodies,6.44,5761,Released,31/01/2013,116980662,97,/d2nWERbNIKA9dBDWbRReK0cRBD4.jpg,35000000,,en,"After a zombie becomes involved with the girlfriend of one of his victims, their romance sets in motion a sequence of events that might transform the entire lifeless world.",21.946,/pvVpl38YOBDOANb0pWbXFb8X3iZ.jpg,Cold body. Warm heart.,"Horror, Comedy, Romance","Summit Entertainment, Mandeville Films, Lionsgate",United States of America,English,"Nicholas Hoult, Teresa Palmer, Rob Corddry",Jonathan Levine
tt0112442,Bad Boys,6.785,5758,Released,07/04/1995,141407024,119,/fgKEdhRw9IgI9KGjLe4w5ghIjA3.jpg,19000000,https://www.sonypictures.com/movies/badboys,en,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",28.92,/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg,Whatcha gonna do?,"Action, Comedy, Crime, Thriller","Columbia Pictures, Don Simpson/Jerry Bruckheimer Films",United States of America,English,"Will Smith, Martin Lawrence, T�a Leoni",Michael Bay
tt5164432,"Love, Simon",8.041,5748,Released,16/02/2018,66316289,110,/5VF2y1KyrrAL2WAX47odZ7TdelT.jpg,17000000,https://LoveSimonMovie.com,en,Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't know the identity of the anonymous classmate he's fallen for online.,19.843,/5YUYg5q7QfC4IoNwNUtiwdiYKPr.jpg,Everyone deserves a great love story.,"Comedy, Drama, Romance","Temple Hill Entertainment, Fox 2000 Pictures, New Leaf Literary & Media, 20th Century Fox, Twisted Media",United States of America,English,"Nick Robinson, Jennifer Garner, Josh Duhamel",Greg Berlanti
tt3322940,Annabelle,5.8,5742,Released,02/10/2014,257047661,99,/2gKX53lskaCYk9ycXmaDJKqWiy.jpg,6500000,http://annabellemovie.com/,en,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,44.87,/yLsuU2P2SpDYFwtZQ7dtfVAf6TE.jpg,"Before the Conjuring, there was Annabelle.",Horror,"Atomic Monster, New Line Cinema, The Safran Company, Evergreen Media Group, RatPac Entertainment, Warner Bros. Pictures",United States of America,English,"Annabelle Wallis, Ward Horton, Alfre Woodard",John R. Leonetti
tt1959563,The Hitman's Bodyguard,6.891,5732,Released,16/08/2017,176586701,118,/7KsqfXDECZMryX1Rv4RKsT7SIjQ.jpg,30000000,http://thehitmansbodyguard.movie,en,"The world’s top bodyguard gets a new client, a hitman who must testify at the International Court of Justice. They must put their differences aside and work together to make it to the trial on time.",28.214,/5CGjlz2vyBhW5xHW4eNOZIdgzYq.jpg,Everyone's out to get them... If they don't kill each other first.,"Action, Comedy","Campbell Grobman Films, East Light Media, Nu Boyana Film Studios, Tom de Mol Productions, Summit Entertainment, Millennium Media, Davis Films, Cristal Pictures","Bulgaria, Canada, France, Hong Kong, Netherlands, United States of America","French, English, Russian","Ryan Reynolds, Samuel L. Jackson, Salma Hayek",Patrick Hughes
tt3371366,Transformers: The Last Knight,6.059,5727,Released,16/06/2017,605425157,154,/1n00NlOGRFZVs8coBxyZLm5l4EC.jpg,217000000,http://www.transformersmovie.com/,en,"Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.",44.968,/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,Two worlds collide. One survives.,"Action, Adventure, Science Fiction","Paramount, di Bonaventura Pictures, Ian Bryce Productions, Tom DeSanto/Don Murphy Production",United States of America,English,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel",Michael Bay
tt5308322,Happy Death Day,6.638,5721,Released,12/10/2017,125479266,97,/9XSEL3EMC2D8k4UcYBn8etgRxPg.jpg,4800000,https://www.happydeathday.com,en,"Caught in a bizarre and terrifying time warp, college student Tree finds herself repeatedly reliving the day of her murder, ultimately realizing that she must identify the killer and the reason for her death before her chances of survival run out.",17.251,/cTaEIUYTt52ooq9quVbAQ7NpGwo.jpg,Get up. Live your day. Get killed. Again.,"Horror, Mystery, Comedy","Vesuvius Productions, Blumhouse Productions, Digital Riot Media",United States of America,English,"Jessica Rothe, Israel Broussard, Ruby Modine",Christopher Landon
tt0212720,A.I. Artificial Intelligence,7.041,5719,Released,29/06/2001,235926552,146,/n7p6UTAZtkeoHkwCO42BEQaMFJY.jpg,100000000,,en,"David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.",26.617,/8MZSGX5JORoO72EfuAEcejH5yHn.jpg,"David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not.","Drama, Science Fiction, Adventure","Amblin Entertainment, Stanley Kubrick Productions, DreamWorks Pictures, Warner Bros. Pictures",United States of America,English,"Joel Osment, Jude Law, Frances O'Connor",Steven Spielberg Haley
tt0298130,The Ring,6.651,5706,Released,18/10/2002,249348933,115,/6TBaTZCq0FdjrXcj9mKdHGpcr2D.jpg,48000000,,en,Rachel Keller is a journalist investigating a videotape that may have killed four teenagers. There is an urban legend about this tape: the viewer will die seven days after watching it. Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring so she can save herself and her son.,25.195,/e2t5CKMox7tjv3iD3Ko7NdFa5lJ.jpg,"Before you die, you see…","Horror, Mystery","BenderSpink, Parkes+MacDonald Image Nation, DreamWorks Pictures, TOHO","Japan, United States of America",English,"Naomi Watts, Martin Henderson, Brian Cox",Gore Verbinski
